"PartitionKey","RowKey","Age","DeviceType","Dizziness","EventEnqueuedUtcTime","EventProcessedUtcTime","Id","IoTHub","Nick","NoExperiment","PartitionId","PreWait","Reaction","Sex"
McDAk,2016-05-26T14:53:42.9650000Z,31,0,0,26.05.2016 14:53:42,26.05.2016 14:53:42,McDAk,Record,McDAk,0,0,3924,3874230,M
McDAk,2016-05-26T14:53:51.9680000Z,31,0,0,26.05.2016 14:53:51,26.05.2016 14:53:51,McDAk,Record,McDAk,1,0,4693,3618095,M
McDAk,2016-05-26T14:54:01.4140000Z,31,0,0,26.05.2016 14:54:01,26.05.2016 14:54:00,McDAk,Record,McDAk,2,0,4408,3730970,M
McDAk,2016-05-26T14:54:08.1820000Z,31,0,0,26.05.2016 14:54:08,26.05.2016 14:54:07,McDAk,Record,McDAk,3,0,3060,4472829,M
McDAk,2016-05-26T14:54:16.3740000Z,31,0,0,26.05.2016 14:54:16,26.05.2016 14:54:15,McDAk,Record,McDAk,4,0,4699,4809185,M
McDAk,2016-05-26T14:54:21.6880000Z,31,0,0,26.05.2016 14:54:21,26.05.2016 14:54:21,McDAk,Record,McDAk,5,0,2047,4438181,M
McDAk,2016-05-26T14:54:30.0170000Z,31,0,0,26.05.2016 14:54:30,26.05.2016 14:54:29,McDAk,Record,McDAk,6,0,4138,3467846,M
McDAk,2016-05-26T14:54:38.0380000Z,31,0,0,26.05.2016 14:54:38,26.05.2016 14:54:37,McDAk,Record,McDAk,7,0,3538,18647856,M
McDAk,2016-05-26T14:54:51.5280000Z,31,0,0,26.05.2016 14:54:51,26.05.2016 14:54:50,McDAk,Record,McDAk,8,0,3656,3532063,M
McDAk,2016-05-26T14:54:59.9220000Z,31,0,0,26.05.2016 14:54:59,26.05.2016 14:54:59,McDAk,Record,McDAk,9,0,4758,3734047,M
McDAk,2016-05-26T14:55:09.8680000Z,31,0,0,26.05.2016 14:55:09,26.05.2016 14:55:09,McDAk,Record,McDAk,10,0,4917,3731782,M
McDAk,2016-05-26T14:55:18.7610000Z,31,0,0,26.05.2016 14:55:18,26.05.2016 14:55:18,McDAk,Record,McDAk,11,0,3429,3933163,M
McDAk,2016-05-26T14:57:20.5440000Z,31,0,1,26.05.2016 14:57:20,26.05.2016 14:57:19,McDAk,Record,McDAk,0,0,2225,4635693,M
McDAk,2016-05-26T14:57:26.6430000Z,31,0,1,26.05.2016 14:57:26,26.05.2016 14:57:26,McDAk,Record,McDAk,1,0,2591,4233410,M
McDAk,2016-05-26T14:57:34.1680000Z,31,0,1,26.05.2016 14:57:34,26.05.2016 14:57:33,McDAk,Record,McDAk,2,0,3709,5821441,M
McDAk,2016-05-26T14:57:42.4800000Z,31,0,1,26.05.2016 14:57:42,26.05.2016 14:57:41,McDAk,Record,McDAk,3,0,4038,4198801,M
McDAk,2016-05-26T14:58:40.8940000Z,31,0,1,26.05.2016 14:58:40,26.05.2016 14:58:40,McDAk,Record,McDAk,0,0,3992,4163901,M
McDAk,2016-05-26T14:58:49.6040000Z,31,0,1,26.05.2016 14:58:49,26.05.2016 14:58:48,McDAk,Record,McDAk,1,0,3684,3909367,M
McDAk,2016-05-26T14:58:56.7490000Z,31,0,1,26.05.2016 14:58:56,26.05.2016 14:58:56,McDAk,Record,McDAk,2,0,3881,4172503,M
McDAk,2016-05-26T14:59:05.2020000Z,31,0,1,26.05.2016 14:59:05,26.05.2016 14:59:04,McDAk,Record,McDAk,3,0,3133,32417821,M
McDAk,2016-05-26T14:59:11.9890000Z,31,0,1,26.05.2016 14:59:11,26.05.2016 14:59:11,McDAk,Record,McDAk,4,0,3428,4027188,M
RainSB,2016-05-26T14:56:36.3050000Z,32,0,0,26.05.2016 14:56:36,26.05.2016 14:56:37,RainSB,Record,RAIN,0,1,4140,4548793,M
RainSB,2016-05-26T14:56:44.0440000Z,32,0,0,26.05.2016 14:56:44,26.05.2016 14:56:44,RainSB,Record,RAIN,1,1,4244,4174107,M
RainSB,2016-05-26T14:56:51.2690000Z,32,0,0,26.05.2016 14:56:51,26.05.2016 14:56:52,RainSB,Record,RAIN,2,1,3988,5192851,M
RainSB,2016-05-26T14:56:57.0040000Z,32,0,0,26.05.2016 14:56:57,26.05.2016 14:56:57,RainSB,Record,RAIN,3,1,2596,4190126,M
RainSB,2016-05-26T14:57:03.8320000Z,32,0,0,26.05.2016 14:57:03,26.05.2016 14:57:04,RainSB,Record,RAIN,4,1,3638,4886168,M
RainSB,2016-05-26T14:57:10.7720000Z,32,0,0,26.05.2016 14:57:10,26.05.2016 14:57:11,RainSB,Record,RAIN,5,1,4036,4030870,M
RainSB,2016-05-26T14:57:16.4810000Z,32,0,0,26.05.2016 14:57:16,26.05.2016 14:57:17,RainSB,Record,RAIN,6,1,2496,6154783,M
RainSB,2016-05-26T14:57:22.9340000Z,32,0,0,26.05.2016 14:57:22,26.05.2016 14:57:23,RainSB,Record,RAIN,7,1,3129,4208290,M
RainSB,2016-05-26T14:57:29.0280000Z,32,0,0,26.05.2016 14:57:29,26.05.2016 14:57:29,RainSB,Record,RAIN,8,1,2892,3910546,M
RainSB,2016-05-26T14:57:34.9350000Z,32,0,0,26.05.2016 14:57:34,26.05.2016 14:57:35,RainSB,Record,RAIN,9,1,2907,4282681,M
RainSB,2016-05-26T14:58:33.0790000Z,32,0,1,26.05.2016 14:58:33,26.05.2016 14:58:33,RainSB,Record,RAIN,0,1,2827,4309260,M
RainSB,2016-05-26T15:00:10.1120000Z,32,0,1,26.05.2016 15:00:10,26.05.2016 15:00:10,RainSB,Record,RAIN,0,1,3380,4042393,M
RainSB,2016-05-26T15:01:26.2370000Z,32,0,1,26.05.2016 15:01:26,26.05.2016 15:01:27,RainSB,Record,RAIN,0,1,2909,4331305,M
devicecb619f3d48cf4b3898f3b7d486c8a94b,2016-05-26T15:01:40.0270000Z,29,0,0,26.05.2016 15:01:40,26.05.2016 15:01:40,devicecb619f3d48cf4b3898f3b7d486c8a94b,Record,Izzi,0,1,4083,2510607,F
devicecb619f3d48cf4b3898f3b7d486c8a94b,2016-05-26T15:01:47.7870000Z,29,0,0,26.05.2016 15:01:47,26.05.2016 15:01:48,devicecb619f3d48cf4b3898f3b7d486c8a94b,Record,Izzi,1,1,2916,13047901,F
devicecb619f3d48cf4b3898f3b7d486c8a94b,2016-05-26T15:01:55.8650000Z,29,0,0,26.05.2016 15:01:55,26.05.2016 15:01:56,devicecb619f3d48cf4b3898f3b7d486c8a94b,Record,Izzi,2,1,2726,40265368,F
devicecb619f3d48cf4b3898f3b7d486c8a94b,2016-05-26T15:02:05.1780000Z,29,0,0,26.05.2016 15:02:05,26.05.2016 15:02:05,devicecb619f3d48cf4b3898f3b7d486c8a94b,Record,Izzi,3,1,4585,8727814,F
dimapasha,2016-05-26T14:49:37.8470000Z,26,0,0,26.05.2016 14:49:37,26.05.2016 14:49:38,dimapasha,Record,pro100dimon,0,1,3916,6551341,M
dimapasha,2016-05-26T14:49:47.3730000Z,26,0,0,26.05.2016 14:49:47,26.05.2016 14:49:48,dimapasha,Record,pro100dimon,1,1,2449,3354984,M
dimapasha,2016-05-26T14:49:55.7070000Z,26,0,0,26.05.2016 14:49:55,26.05.2016 14:49:56,dimapasha,Record,pro100dimon,2,1,2234,45612382,M
dimapasha,2016-05-26T14:50:03.3250000Z,26,0,0,26.05.2016 14:50:03,26.05.2016 14:50:04,dimapasha,Record,pro100dimon,3,1,3491,3290339,M
dimapasha,2016-05-26T14:50:11.7120000Z,26,0,0,26.05.2016 14:50:11,26.05.2016 14:50:12,dimapasha,Record,pro100dimon,4,1,2875,3131102,M
dimapasha,2016-05-26T14:50:19.0720000Z,26,0,0,26.05.2016 14:50:19,26.05.2016 14:50:19,dimapasha,Record,pro100dimon,5,1,2416,3482253,M
dimapasha,2016-05-26T14:51:06.2310000Z,26,0,0,26.05.2016 14:51:06,26.05.2016 14:51:07,dimapasha,Record,kpasha,0,1,4958,4062736,M
dimapasha,2016-05-26T14:51:12.9580000Z,26,0,0,26.05.2016 14:51:12,26.05.2016 14:51:13,dimapasha,Record,kpasha,1,1,3247,5256499,M
dimapasha,2016-05-26T14:51:21.0530000Z,26,0,0,26.05.2016 14:51:21,26.05.2016 14:51:21,dimapasha,Record,kpasha,2,1,4036,3649420,M
dimapasha,2016-05-26T14:51:27.8210000Z,26,0,0,26.05.2016 14:51:27,26.05.2016 14:51:28,dimapasha,Record,kpasha,3,1,2511,3327303,M
dimapasha,2016-05-26T14:51:33.3680000Z,26,0,0,26.05.2016 14:51:33,26.05.2016 14:51:34,dimapasha,Record,kpasha,4,1,2334,3558123,M
dimapasha,2016-05-26T14:51:39.6030000Z,26,0,0,26.05.2016 14:51:39,26.05.2016 14:51:40,dimapasha,Record,kpasha,5,1,3363,3423301,M
dimapasha,2016-05-26T14:51:47.8530000Z,26,0,0,26.05.2016 14:51:47,26.05.2016 14:51:48,dimapasha,Record,kpasha,6,1,4658,4696446,M
dimapasha,2016-05-26T14:52:33.2120000Z,26,0,1,26.05.2016 14:52:33,26.05.2016 14:52:34,dimapasha,Record,kpasha,0,1,2122,3527571,M
dimapasha,2016-05-26T14:52:40.3150000Z,26,0,1,26.05.2016 14:52:40,26.05.2016 14:52:41,dimapasha,Record,kpasha,1,1,4026,3946328,M
dimapasha,2016-05-26T14:52:46.7720000Z,26,0,1,26.05.2016 14:52:46,26.05.2016 14:52:47,dimapasha,Record,kpasha,2,1,2330,3371868,M
dimapasha,2016-05-26T14:52:54.0550000Z,26,0,1,26.05.2016 14:52:54,26.05.2016 14:52:54,dimapasha,Record,kpasha,3,1,2058,4030363,M
dimapasha,2016-05-26T14:53:18.1840000Z,26,0,1,26.05.2016 14:53:18,26.05.2016 14:53:18,dimapasha,Record,kpasha,4,1,3833,3340680,M
dimapasha,2016-05-26T14:53:23.4700000Z,26,0,1,26.05.2016 14:53:23,26.05.2016 14:53:24,dimapasha,Record,kpasha,5,1,2414,3289049,M
dimapasha,2016-05-26T14:53:29.0310000Z,26,0,1,26.05.2016 14:53:29,26.05.2016 14:53:29,dimapasha,Record,kpasha,6,1,2703,3157890,M
dimapasha,2016-05-26T14:53:35.5160000Z,26,0,1,26.05.2016 14:53:35,26.05.2016 14:53:36,dimapasha,Record,kpasha,7,1,2858,3693084,M
dimapasha,2016-05-26T14:54:15.1090000Z,26,0,1,26.05.2016 14:54:15,26.05.2016 14:54:15,dimapasha,Record,pro100dimon,0,1,3016,3157000,M
