"PartitionKey","RowKey","Age","DeviceType","Dizziness","EventEnqueuedUtcTime","EventProcessedUtcTime","Id","IoTHub","Nick","NoExperiment","PartitionId","PreWait","Reaction","Sex"
rpi3,2016-05-22T16:40:14.4710000Z,42,0,0,22.05.2016 16:40:14,22.05.2016 16:40:14,rpi3,Record,shwars,0,1,3979,3740065,M
rpi3,2016-05-22T16:40:20.7060000Z,42,0,0,22.05.2016 16:40:20,22.05.2016 16:40:21,rpi3,Record,shwars,1,1,2414,3822152,M
rpi3,2016-05-22T16:40:31.3060000Z,42,0,0,22.05.2016 16:40:31,22.05.2016 16:40:31,rpi3,Record,shwars,2,1,4844,4141964,M
rpi3,2016-05-22T16:40:48.9780000Z,42,0,0,22.05.2016 16:40:48,22.05.2016 16:40:49,rpi3,Record,shwars,4,1,3620,3898220,M
rpi3,2016-05-22T16:40:56.7440000Z,42,0,0,22.05.2016 16:40:56,22.05.2016 16:40:57,rpi3,Record,shwars,5,1,4442,4163261,M
rpi3,2016-05-22T16:41:03.7760000Z,42,0,0,22.05.2016 16:41:03,22.05.2016 16:41:04,rpi3,Record,shwars,6,1,3359,3765328,M
rpi3,2016-05-22T16:41:12.1360000Z,42,0,0,22.05.2016 16:41:12,22.05.2016 16:41:12,rpi3,Record,shwars,7,1,3611,3437563,M
rpi3,2016-05-22T16:45:36.3240000Z,42,0,1,22.05.2016 16:45:36,22.05.2016 16:45:36,rpi3,Record,shwars,0,1,2704,3764139,M
rpi3,2016-05-22T16:45:44.2360000Z,42,0,1,22.05.2016 16:45:44,22.05.2016 16:45:44,rpi3,Record,shwars,1,1,4702,4183754,M
rpi3,2016-05-22T16:45:52.2650000Z,42,0,1,22.05.2016 16:45:52,22.05.2016 16:45:52,rpi3,Record,shwars,2,1,3959,4285622,M
rpi3,2016-05-22T16:46:09.9890000Z,42,0,1,22.05.2016 16:46:09,22.05.2016 16:46:10,rpi3,Record,shwars,3,1,4007,3618476,M
rpi3,2016-05-22T16:46:17.1170000Z,42,0,1,22.05.2016 16:46:17,22.05.2016 16:46:17,rpi3,Record,shwars,4,1,3699,4713374,M
rpi3,2016-05-22T16:46:22.9140000Z,42,0,1,22.05.2016 16:46:22,22.05.2016 16:46:23,rpi3,Record,shwars,5,1,2721,4439074,M
